Month,Date,type,category,details,cost
Nov-24,1,tuition/allowance,aira,"tuition yr 2, sem1/3",2770
Nov-24,2,food,basic,"tomato sauce, cucumber, pomelo, lettuce",289.04
Nov-24,2,misc,occasional,hair treatment,577.28
Nov-24,2,occasions,occasional,Mama - handa,1695
Nov-24,3,church,basic,donation + sampaguita,250
Nov-24,3,food,basic,egg,255
Nov-24,3,water,basic,bills,1300
Nov-24,4,travel/leisure,self-care,Boracay airfare (back & forth) - Air Asia,1054.33
Nov-24,7,occasions,occasional,Birthday lunch,1474
Nov-24,8,food,basic,breadtalk,288
Nov-24,8,misc,occasional,"CGM, deo (zenutrients)",1195.65
Nov-24,8,misc,occasional,weighing scale,578.97
Nov-24,8,misc,occasional,detergent,405
Nov-24,8,misc,occasional,conzace * 10,139.5
Nov-24,8,misc,occasional,2025 planner,149
Nov-24,10,church,basic,"mass, donation, sampaguita",250
Nov-24,10,electricity,basic,kwh,3489.3
Nov-24,10,food,basic,"bread, lettuce, cucumber, tomato bottle",623.8
Nov-24,10,savings,savings,savings,-2600
Nov-24,11,misc,occasional,nails for jen wedding,85.84
Nov-24,11,occasions,occasional,Aira birthday gift,551.69
Nov-24,11,tuition/allowance,aira,Aira baon,1570
Nov-24,11,tuition/allowance,aira,Aira baon - laundry contribution,160
Nov-24,12,emergency,savings,bed bug allergic reaction,3458.25
Nov-24,12,occasions,occasional,down: Christmas gifts for everyone,400
Nov-24,12,occasions,occasional,balance: Christmas gifts for everyone,519
Nov-24,15,electricity,basic,Laundry 14 days,390
Nov-24,15,fare/load,occasional,load,100
Nov-24,16,fare/load,occasional,tipolo to bahay,248
Nov-24,16,food,basic,"rob antipolo liberty wings, empanada, lumpia",922
Nov-24,16,occasions,occasional,aira cake,780
Nov-24,16,savings,savings,lawn for dead body,132000
Nov-24,17,church,basic,church donation,300
Nov-24,17,food,basic,anchor protein,165.82
Nov-24,17,misc,occasional,uniqlo top,1180
Nov-24,21,chargeable to unexpected funds,,13th month pay,34759.48
Nov-24,21,occasions,occasional,13th month pay christmas gift to papa - geared shorts - uniqlo,-1290
Nov-24,21,church,basic,13th month pay to Church donation,-255.25
Nov-24,21,electricity,basic,13th month pay to electric bills,-500
Nov-24,21,food,basic,13th month pay,-2250
Nov-24,21,learning,self-care,13th month pay to learning funds,-900
Nov-24,21,misc,occasional,13th month pay,-11362.39
Nov-24,21,occasions,occasional,13th month pay,-9001.84
Nov-24,21,parental support,savings,13th month pay to parental support,-4000
Nov-24,21,savings,savings,13th month pay - 10% to savings,-3500
Nov-24,21,travel/leisure,self-care,13th month pay to leisure funds,-900
Nov-24,21,water,basic,13th month pay to water bills,-300
Nov-24,21,occasions,occasional,13th month pay christmas gift to papa - geared shorts - uniqlo,1290
Nov-24,22,fare/load,occasional,extend 7 days of 99,50
Nov-24,22,food,basic,breadtalk 2 loaves,358.92
Nov-24,22,misc,occasional,christmas party bini,530.6
Nov-24,23,occasions,occasional,Tita Eva's 60th - gift,625.44
Nov-24,24,chargeable to unexpected funds,,Misc,1299
Nov-24,24,emergency,savings,Phone lcd,2668
Nov-24,24,emergency,savings,mama checkup,560
Nov-24,24,fare/load,occasional,Sm north,178
Nov-24,24,food,basic,Salad stop and butter boy,454.67
Nov-24,24,misc,occasional,Pen and correction tape,94
Nov-24,27,church,basic,donation and pamisa,150
Nov-24,27,emergency,savings,Gaviscon,68.29
Nov-24,27,fare/load,occasional,Cassie Miran,186
Nov-24,27,food,basic,"water, ADOBO flakes",206.26
Nov-24,27,food,basic,Breadtalk,271.18
Nov-24,27,learning,self-care,loa,160
Nov-24,27,parental support,savings,parental ayuda,2000
Nov-24,28,misc,occasional,earphones,1035
Nov-24,30,fare/load,occasional,Load,247.5
Nov-24,30,food,basic,Puto bumbong,50
Nov-24,30,parental support,savings,Grab: bahay to antipolo,1297
Nov-24,1,fare/load,occasional,joyride,376
Dec-24,1,electricity,basic,Laundry,340
Dec-24,1,emergency,savings,Eo glasses 2,1997
Dec-24,1,food,basic,711 coffee,100
Dec-24,1,food,basic,Saba,44
Dec-24,1,misc,occasional,Headband,71.1
Dec-24,1,misc,occasional,Smac card,200
Dec-24,1,savings,savings,savings,-2600
Dec-24,2,fare/load,occasional,house to & from mdr,271
Dec-24,2,food,basic,day 1 breakfast (one ayala yah yun),319.04
Dec-24,3,fare/load,occasional,house to & from mdr,211
Dec-24,3,food,basic,day 2 breakfast (jco donuts),303.39
Dec-24,3,misc,occasional,phone case,256
Dec-24,4,fare/load,occasional,house to & from mdr,188
Dec-24,4,food,basic,day 3 breakfast (jco bun & capuccino),159.52
Dec-24,6,fare/load,occasional,house to & from mdr,201
Dec-24,6,food,basic,"day 4 breakfast (subway, water)",300
Dec-24,6,food,basic,mcdonalds 6-pc chicken,540.37
Dec-24,6,food,basic,vegies (squash & pinakbet),238
Dec-24,6,food,basic,process feelings tea,130
Dec-24,6,food,basic,sweet potato noodles x4,342
Dec-24,6,misc,occasional,uniqlo pants & shirt,1582
Dec-24,6,parental support,savings,grab fare from unionbank to smf and smf to bahay,496
Dec-24,8,church,basic,donation,250
Dec-24,9,fare/load,occasional,house to & from mdr,201
Dec-24,9,food,basic,day 5 breakfast,355
Dec-24,9,food,basic,ulam,250
Dec-24,9,occasions,occasional,jen wedding dress,279.16
Dec-24,9,travel/leisure,self-care,spotify,149
Dec-24,9,tuition/allowance,aira,December - baon,250
Dec-24,10,chargeable to unexpected funds,,UNEXPECTED Christmas Bonus,8000
Dec-24,10,fare/load,occasional,Bohol grab buffer,-2500
Dec-24,10,food,basic,Buffer for food,-1000
Dec-24,11,food,basic,Kenny Rogers lunch,-1386
Dec-24,11,misc,occasional,"Shades, eyebrow",-1835
Dec-24,11,misc,occasional,Eye shadow,-398
Dec-24,21,misc,occasional,mac protector,-594.33
Dec-24,30,misc,occasional,skin 1004 ampoule,-250.54
Dec-24,11,food,basic,Kenny Rogers lunch,1386
Dec-24,11,misc,occasional,"Shades, eyebrow",1835
Dec-24,11,misc,occasional,Eye shadow,398
Dec-24,11,food,basic,Breadtalk,216.35
Dec-24,11,food,basic,Fruitas,128.61
Dec-24,11,food,basic,Pocor,126.62
Dec-24,13,fare/load,occasional,Grab from home to Terminal 2,963
Dec-24,13,food,basic,"Cafe France, Cafe Singapura",573.27
Dec-24,14,misc,occasional,Bag (laptop),1619.19
Dec-24,21,misc,occasional,mac protector,594.33
Dec-24,25,chargeable to unexpected funds,,Raffle prize,20000
Dec-24,29,travel/leisure,self-care,The Click 5,-11300
Dec-24,29,travel/leisure,self-care,The Click 5,11300
Dec-24,25,parental support,savings,Mama Papa Christmas Gift,-5000
Dec-24,25,parental support,savings,Mama Papa Christmas Gift,5000
Dec-24,15,occasions,occasional,necklace + earrings - Bohol gift,300
Dec-24,21,misc,occasional,socks,386.1
Dec-24,15,fare/load,occasional,Grab from terminal 2 to bahay + load extension,1113
Dec-24,15,food,basic,"tablea, chocolates",750
Dec-24,15,food,basic,Ocean view + water,921.17
Dec-24,15,travel/leisure,self-care,G-RUN + food + fare,1280
Dec-24,16,tuition/allowance,aira,"tuition yr 2, sem2/3",23549
Dec-24,17,occasions,occasional,Christmas gift to Em G-RUN,830
Dec-24,19,food,basic,pares,803.07
Dec-24,20,electricity,basic,261 KWH,3310.72
Dec-24,21,fare/load,occasional,grab to sm,303
Dec-24,21,fare/load,occasional,grab from sm,420
Dec-24,21,fare/load,occasional,load,97
Dec-24,21,food,basic,"pho hoa, water fr walk",768.71
Dec-24,21,food,basic,coffee bean,635
Dec-24,21,misc,occasional,huawei watch strap,244.62
Dec-24,22,church,basic,donation + sampaguita,250
Dec-24,22,emergency,savings,check up + meds + vitamins,866
Dec-24,22,fare/load,occasional,water,20
Dec-24,22,fare/load,occasional,tryk to church,55
Dec-24,22,misc,occasional,tissue,10
Dec-24,23,water,basic,water,1000
Dec-24,24,occasions,occasional,Christmas,1505.99
Dec-24,24,parental support,savings,mama - Christmas gift,1500
Dec-24,24,parental support,savings,papa - Christmas gift,1500
Dec-24,25,church,basic,"donation, calendar, sampaguita",385
Dec-24,28,misc,occasional,bacne,360.47
Dec-24,29,occasions,occasional,dress,277.2
Dec-24,29,food,basic,"after tree, bread talk",432
Dec-24,29,church,basic,"donation, sampaguita",190
Dec-24,29,travel/leisure,self-care,"after tree, shawarma, sandwich guy, pocor, green bones",952
Dec-24,29,fare/load,occasional,load extension,50
Dec-24,30,misc,occasional,rosemary for hair,437.57
Dec-24,30,occasions,occasional,New Year,800
Dec-24,31,misc,occasional,Ampoule,250.54
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
